seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	40942988	40943137	150	*	X0048	339559	40943302	40962015	18714	+	164	upstream	164	ZFP69
chr1	46859675	46859794	120	*	X0061	2166	46859939	46879520	19582	+	144	upstream	144	FAAH
chr1	89988295	89988399	105	*	X0088	23507	89990397	90063420	73024	+	1997	upstream	1997	LRRC8B
chr1	94376363	94376482	120	*	X0091	2730	94352590	94375012	22423	-	1350	upstream	1350	GCLM
chr1	227749186	227749292	107	*	X0214	339500	227751220	227910352	159133	+	1927	upstream	1927	ZNF678
chr1	228003491	228003718	228	*	X0230	339501	228003418	228034171	30754	+	0	inside	72	PRSS38
chr1	228282957	228283091	135	*	X0233	100500810	228284964	228285042	79	+	1872	upstream	1872	MIR3620
chr1	229406502	229406666	165	*	X0240	5867	229406809	229441640	34832	+	142	upstream	142	RAB4A
chr1	247268574	247268603	30	*	X0290	79862	247263264	247267674	4411	-	899	upstream	899	ZNF669
chr10	2358446	2358531	86	*	X0322	399708	2342513	2357268	14756	-	1177	upstream	1177	LINC00701
chr10	37413666	37413770	105	*	X0401	91074	37414785	37521495	106711	+	1014	upstream	1014	ANKRD30A
chr10	44100974	44101093	120	*	X0429	220992	44101855	44113352	11498	+	761	upstream	761	ZNF485
chr10	45496681	45496782	102	*	X0433	220979	45493146	45496470	3325	-	210	upstream	210	ZNF22-AS1
chr10	123735276	123735282	7	*	X0561	54780	123716603	123734743	18141	-	532	upstream	532	NSMCE4A
chr11	2464928	2465177	250	*	X0621	3784	2466221	2870340	404120	+	1043	upstream	1043	KCNQ1
chr11	2465238	2465387	150	*	X0622	3784	2466221	2870340	404120	+	833	upstream	833	KCNQ1
chr11	8190782	8190901	120	*	X0661	79608	8127597	8190590	62994	-	191	upstream	191	RIC3
chr11	20690595	20690596	2	*	X0684	4745	20691117	21597229	906113	+	520	upstream	520	NELL1
chr11	43580277	43580293	17	*	X0731	100313777	43581206	43581303	98	+	912	upstream	912	MIR670
